ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As of 2.8.2017.,SearchStringWOS,WOShits .As of 2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF Citation,PGF more citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao note,GMPDtraits,GMPDtax,ParasiteCorrectedName updated,Match,disease,disease note
Hyalomma truncatum,NA,0,,0,2,0,1,,VR,42706,,,,,Hyalomma truncatum,1870,Hyalomma truncatum,128,mosquito vector,"Mathison et al., 2015",Gideon,VR,42706,,,,NA,0,1,No,,,,Hyalomma truncatum,Hyalomma truncatum,,
Hymenolepis diminuta,NA,0,,0,3,1,1,,VR,42706,,,,,Hymenolepis diminuta,17700,Hymenolepis diminuta,1120,rodent/insects (arthropod ingestion),"Tena et al., 1998",Gideon,VR,42706,,,,NA,0,1,No,,,,Hymenolepis diminuta,Hymenolepis diminuta,,
Hymenolepis nana,NA,0,,0,1,0,1,,VR,42706,,,,,Hymenolepis nana,12700,Hymenolepis nana,455,food/water/fecal-oral,"Muehlenbachs et al., 2015",Gideon,VR,42706,,,,NA,0,1,No,,,,Hymenolepis nana,Hymenolepis nana,,
Hyostrongylus kigeziensis,NA,0,,,,-1,3,,VR,42705,,,,,Hyostrongylus kigeziensis,10,Hyostrongylus kigeziensis,1,,"Durette-Desset et al., 1992",,VR,42705,,,,NA,0,1,No,,,,Hyostrongylus kigeziensis,Hyostrongylus kigeziensis,,
Hyostrongylus rubidus,NA,0,,,,-1,2,,VR,42705,,,,,Hyostrongylus rubidus,978,Hyostrongylus rubidus,57,,"Nansen et al., 1996",,VR,42705,,,,NA,0,1,No,,,,Hyostrongylus rubidus,Hyostrongylus rubidus,,
Hypoaspis leviculus,NA,0,,,,-1,3,,VR,42705,,,,,Hypoaspis leviculus,17,Hypoaspis leviculus,0,,Ritzi and Whitaker 2003,,VR,42705,,,,NA,0,0,Yes,FORMAT,Hypoaspis leviculus,Hypoaspis leviculus,Hypoaspis leviculus,Hypoaspis leviculus,,
Hypoderma tarandi,NA,0,,0,3,0,2,,VR,42705,,,,,Hypoderma tarandi,710,Hypoderma tarandi,51,"formerly Oedemagena tarandi, found in reindeer and cattle, among others.  A fly parasite whose larvae burrow under skin.  Eggs are deposited on the hair of the host.","Lagace-Wiens et al., 2008",,VR,42705,,,,NA,0,1,No,,,,Hypoderma tarandi,Hypoderma tarandi,,
Impalaia nudicollis,NA,0,,,,-1,3,,VR,42705,,,,,Impalaia nudicollis,54,Impalaia nudicollis,0,,"Horak et al., 1982",,VR,42705,,,,NA,0,1,No,,,,Impalaia nudicollis,Impalaia nudicollis,,
Impalaia tuberculata,NA,0,,,,-1,3,,VR,42705,,,,,Impalaia tuberculata,87,Impalaia tuberculata,3,,"Boomker et al., 1989",NEED,VR,42705,,,,NA,0,1,No,,,,Impalaia tuberculata,Impalaia tuberculata,,
Influenza A2,NA,3,,,,0,1,,VR,42705,,,,,Influenza A2,113000,Influenza A2,442,,"Coleman et al., 1968",,VR,42705,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Influenza A2,,,
Influenzavirus A Influenza A virus subtype H1N1,NA,3,,,,1,1,,VR,42705,,,,,Influenzavirus A Influenza A virus subtype H1N1,18200,Influenzavirus A Influenza A virus subtype H1N1,6,,"Peiris et al., 2009",,VR,42705,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Influenzavirus A Influenza A virus subtype H1N1,,,
Influenzavirus A Influenza A virus subtype H3N2,NA,3,,,,0,1,,VR,42705,,,,,Influenzavirus A Influenza A virus subtype H3N2,17600,Influenzavirus A Influenza A virus subtype H3N2,3,,"Scholtissek et al., 1978",,VR,42705,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Influenzavirus A Influenza A virus subtype H3N2,,,
Influenzavirus-A InfluenzaAvirus,NA,3,,,,0,1,,VR,42705,,,,,Influenzavirus-A InfluenzaAvirus,1990,Influenzavirus-A InfluenzaAvirus,0,,"Class et al., 1998",,VR,42705,,,,NA,0,0,Yes,,Influenzavirus A Influenza A virus,,Influenzavirus A Influenza A virus,Influenzavirus A Influenza A virus,,
Influenzavirus-B InfluenzaBvirus,NA,3,,,,0,1,,VR,42705,,,,,Influenzavirus-B InfluenzaBvirus,503,Influenzavirus-B InfluenzaBvirus,0,,"Gubareva et al., 1998",,VR,42705,,,,NA,0,0,Yes,,Influenzavirus B Influenza B virus,,Influenzavirus B Influenza B virus,Influenzavirus B Influenza B virus,,
Ingloxyuris inglisi,NA,0,,,,-1,3,,VR,42705,,,,,Ingloxyuris inglisi,9,Ingloxyuris inglisi,0,,Hugot and Baylac 2007,,VR,42705,,,,NA,0,0,Yes,"Lemuricola (Ingloxyuris) inglisi (Anderson, Roy Clayton, Alain Gabriel Chabaud, and Sheila Willmott, eds. Keys to the nematode parasites of vertebrates: archival volume. Cabi, 2009.)",Lemuricola inglisi,Lemuricola inglisi,Lemuricola inglisi,Lemuricola inglisi,,
Iodamoeba butschlii,NA,0,,,,0,1,,VR,42705,,,,,Iodamoeba butschlii,1790,Iodamoeba butschlii,50,,"Park et al., 2004",,VR,42705,,,,NA,0,1,No,,,,Iodamoeba butschlii,Iodamoeba butschlii,,
Isospora arctopitheci,NA,0,,,,-1,3,,VR,42705,,,,,Isospora arctopitheci,64,Isospora arctopitheci,4,,"Stuart et al., 1990",,VR,42705,,,,NA,0,1,No,,,,Isospora arctopitheci,Isospora arctopitheci,,
Isospora belli,NA,0,,0,3,0,1,,VR,42705,,,,,Isospora belli,6680,Isospora belli,290,human only,"Horvitz et al., 1987",Gideon,VR,42705,,,,NA,0,0,Yes," .Ud Din, Najam, et al. ""Severe Isospora (Cystoisospora) belli diarrhea preceding the diagnosis of human T-cell-leukemia-virus-1-associated T-cell lymphoma."" Case reports in infectious diseases 2012 (2012).",Cystoisospora belli,Cystoisospora belli,Cystoisospora belli,Cystoisospora belli,Cystoisosporiasis,no other mammal hosts. Isospora (Cystoisospora) belli
Isospora canis,NA,0,,,,-1,1,,VR,42705,,,,,Isospora canis,2930,Isospora canis,89,,"Mitchell et al., 2007",,VR,42705,,,,NA,0,0,Yes,"Mitchell, Sheila M., et al. ""Cystoisospora canis Nemes?ri, 1959 (syn. Isospora canis), infections in dogs: clinical signs, pathogenesis, and reproducible clinical disease in beagle dogs fed oocysts."" Journal of Parasitology 93.2 (2007): 345-352.",Cystoisospora canis,Cystoisospora canis,Cystoisospora canis,Cystoisospora canis,,
Isospora cebi,NA,0,,,,-1,3,,VR,42705,,,,,Isospora cebi,23,Isospora cebi,1,,"Lindsay et al., 1997",,VR,42705,,,,NA,0,1,No,,,,Isospora cebi,Isospora cebi,,
Isospora endocallimici,NA,0,,,,-1,3,,VR,42705,,,,,Isospora endocallimici,41,Isospora endocallimici,0,,"Speer et al., 1976",,VR,42705,,,,NA,0,1,No,,,,Isospora endocallimici,Isospora endocallimici,,
Isospora heydorni,NA,0,,,,-1,2,,VR,42705,,,,,Isospora heydorni,330,Isospora heydorni,22,,Mehlhorn and Heydorn 2000,,VR,42705,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Isospora heydorni,,,
Isospora lutrae,NA,0,,,,-1,3,,VR,42705,,,,,Isospora lutrae,28,Isospora lutrae,1,,"Torres et al., 2000",,VR,42705,,,,NA,0,1,No,,,,Isospora lutrae,Isospora lutrae,,
Isospora melis,NA,0,,,,-1,3,,VR,42705,,,,,Isospora melis,63,Isospora melis,2,,"Gorski et al., 2006",,VR,42705,,,,NA,0,1,No,,,,Isospora melis,Isospora melis,,
Isospora papionis,NA,0,,,,-1,2,,VR,42705,,,,,Isospora papionis,109,Isospora papionis,0,,"Lindsay et al., 1997",,VR,42705,,,,NA,0,1,No,,,,Isospora papionis,Isospora papionis,,
Isospora saimirae,NA,0,,,,-1,3,,VR,42705,,,,,Isospora saimirae,3,Isospora saimirae,0,,Duszynski and Upton 2001,,VR,42705,,,,NA,0,1,No,,,,Isospora saimirae,Isospora saimirae,,
Isospora sengeri,NA,0,,,,-1,3,,VR,42705,,,,,Isospora sengeri,10,Isospora sengeri,0,,"Lesmeister et al., 2008",,VR,42705,,,,NA,0,1,No,,,,Isospora sengeri,Isospora sengeri,,
Isospora spilogales,NA,0,,,,-1,2,,VR,42705,,,,,Isospora spilogales,21,Isospora spilogales,0,,"Lesmeister et al., 2008",,VR,42705,,,,NA,0,1,No,,,,Isospora spilogales,Isospora spilogales,,
Isospora vulpis,NA,0,,,,-1,2,,VR,42705,,,,,Isospora vulpis,907,Isospora vulpis,36,,"Gorski et al., 2006",,VR,42705,,,,NA,0,1,No,,,,Isospora vulpis,Isospora vulpis,,
Isthmiophora hortensis,NA,0,,,,-1,2,,VR,42705,,,,,Isthmiophora hortensis,35,Isthmiophora hortensis,2,,"Detwiler et al., 2010",,VR,42705,,,,NA,0,1,No,,,,Isthmiophora hortensis,Isthmiophora hortensis,,
Isthmiophora melis,NA,0,,,,-1,2,,VR,42705,,,,,Isthmiophora melis,267,Isthmiophora melis,14,,Grabda-Kazubska and Laskowski 1996,,VR,42705,,,,NA,0,1,No,,,,Isthmiophora melis,Isthmiophora melis,,
Joyeuxiella echinorhynchoides,NA,0,,,,-1,3,,VR,42705,,,,,Joyeuxiella echinorhynchoides,60,Joyeuxiella echinorhynchoides,4,,"Miquel et al., 2005",,VR,42705,,,,NA,0,1,No,,,,Joyeuxiella echinorhynchoides,Joyeuxiella echinorhynchoides,,
Joyeuxiella pasqualei,NA,0,,,,-1,2,,VR,42705,,,,,Joyeuxiella pasqualei,159,Joyeuxiella pasqualei,16,,"Zibaei et al., 2007",,VR,42705,,,,NA,0,1,No,,,,Joyeuxiella pasqualei,Joyeuxiella pasqualei,,
Kiluluma goodeyi,NA,0,,,,-1,3,,VR,42703,,,,,Kiluluma goodeyi,12,Kiluluma goodeyi,1,,"Knapp et al., 1997",,VR,42703,,,,NA,0,1,No,,,,Kiluluma goodeyi,Kiluluma goodeyi,,
Kiluluma magna,NA,0,,,,-1,3,,VR,42703,,,,,Kiluluma magna,12,Kiluluma magna,1,,"Knapp et al., 1997",,VR,42703,,,,NA,0,1,No,,,,Kiluluma magna,Kiluluma magna,,
Kiluluma rhinocerotis,NA,0,,,,-1,3,,VR,42703,,,,,Kiluluma rhinocerotis,15,Kiluluma rhinocerotis,1,,"Knapp et al., 1997",,VR,42703,,,,NA,0,1,No,,,,Kiluluma rhinocerotis,Kiluluma rhinocerotis,,
Kingella kingae,NA,0,,,,0,1,,VR,42703,,,,,Kingella kingae,3810,Kingella kingae,368,,"Yagupsky et al., 1992",,VR,42703,,,,NA,0,1,No,,,,Kingella kingae,Kingella kingae,,
Kirkioestrus blanchardi,NA,0,,,,-1,3,,VR,42703,,,,,Kirkioestrus blanchardi,19,Kirkioestrus blanchardi,0,,"Colwell et al., 2009",,VR,42703,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Kirkioestrus blanchardi,,,
Kirkioestrus minutus,NA,0,,,,-1,3,,VR,42703,,,,,Kirkioestrus minutus,40,Kirkioestrus minutus,1,,"Horak et al., 1983",,VR,42703,,,,NA,0,1,No,,,,Kirkioestrus minutus,Kirkioestrus minutus,,
Klebsiella granulomatis,NA,0,,,,0,1,,VR,42703,,,,,Klebsiella granulomatis,1340,Klebsiella granulomatis,31,,"Mackay et al., 2006",,VR,42703,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Klebsiella granulomatis,,,
Klebsiella pneumoniae,NA,0,,,,0,1,,VR,42703,,,,,Klebsiella pneumoniae,370000,Klebsiella pneumoniae,19737,,"Yong et al., 2009",,VR,42703,,,,NA,0,1,No,,,,Klebsiella pneumoniae,Klebsiella pneumoniae,,
Kocuria varians,NA,0,,,,0,1,,VR,42703,,,,,Kocuria varians,1350,Kocuria varians,59,,"Tsai et al., 2010",,VR,42703,,,,NA,0,1,No,,,,Kocuria varians,Kocuria varians,,
Lagovirus Rabbithemorrhagicdiseasevirus,NA,0,,,,-1,1,,VR,42703,,,,,Lagovirus Rabbithemorrhagicdiseasevirus,671,Lagovirus Rabbithemorrhagicdiseasevirus,0,,"Strive et al., 2010",,VR,42703,,,,NA,0,0,Yes,,Lagovirus Rabbit hemorrhagic disease virus,,Lagovirus Rabbit hemorrhagic disease virus,Lagovirus Rabbit hemorrhagic disease virus,,
Lambdapapillomavirus Canineoralpapillomavirus,NA,0,,,,1,1,,VR,42703,,,,,Lambdapapillomavirus Canineoralpapillomavirus,62,Lambdapapillomavirus Canineoralpapillomavirus,0,,"Nicholls et al., 1999",,VR,42703,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Lambdapapillomavirus Canineoralpapillomavirus,,,
Lambdapapillomavirus Felinepapillomavirus,NA,3,,,,-1,1,,VR,42703,,,,,Lambdapapillomavirus Felinepapillomavirus,23,Lambdapapillomavirus Felinepapillomavirus,0,,"Sundberg et al., 2000",,VR,42703,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Lambdapapillomavirus Felinepapillomavirus,,,
Lawsonia intracellularis,NA,0,,,,-1,1,,VR,42703,,,,,Lawsonia intracellularis,3960,Lawsonia intracellularis,478,,"McOrist et al., 1995",,VR,42703,,,,NA,0,1,No,,,,Lawsonia intracellularis,Lawsonia intracellularis,,
Leipertrema foxi,NA,0,,,,-1,3,,VR,42703,,,,,Leipertrema foxi,6,Leipertrema foxi,0,,NEED,,VR,42703,,,,NA,0,1,No,,,,Leipertrema foxi,Leipertrema foxi,,
Leipertrema rewelli,NA,0,,,,-1,3,,VR,42703,,,,,Leipertrema rewelli,19,Leipertrema rewelli,0,,Rau and Fassuliotis 2011,,VR,42703,,,,NA,0,1,No,,,,Leipertrema rewelli,Leipertrema rewelli,,
Leishmania braziliensis,NA,0,,,,0,1,,VR,42703,,,,,Leishmania braziliensis,33200,Leishmania braziliensis,1887,,"Jones et al., 1987",,VR,42703,,,,NA,0,1,No,,,,Leishmania braziliensis,Leishmania braziliensis,,
Leishmania chagasi,NA,0,,,,0,1,,VR,42703,,,,,Leishmania chagasi,15200,Leishmania chagasi,1406,,"Burns et al., 1993",,VR,42703,,,,NA,0,1,No,,,,Leishmania chagasi,Leishmania chagasi,,
Leishmania donovani,NA,0,,,,0,1,,VR,42703,,,,,Leishmania donovani,47200,Leishmania donovani,6697,,"Lira et al., 1999",,VR,42703,,,,NA,0,1,No,,,,Leishmania donovani,Leishmania donovani,,
Leishmania infantum,NA,0,,,,0,1,,VR,42703,,,,,Leishmania infantum,26600,Leishmania infantum,3694,,"Fichoux et al., 1999",,VR,42703,,,,NA,0,1,No,,,,Leishmania infantum,Leishmania infantum,,
Leishmania shawi,NA,0,,,,1,3,,VR,42703,,,,,Leishmania shawi,1410,Leishmania shawi,49,,"Shaw et al., 1995",,VR,42703,,,,NA,0,1,No,,,,Leishmania shawi,Leishmania shawi,,
Lemuralges intermedius,NA,0,,,,-1,3,,VR,42703,,,,,Lemuralges intermedius,8,Lemuralges intermedius,1,,"Bochkov et al., 2010",,VR,42703,,,,NA,0,1,No,,,,Lemuralges intermedius,Lemuralges intermedius,,
Lemuricola baltazardi,NA,0,,,,-1,3,,VR,42703,,,,,Lemuricola baltazardi,8,Lemuricola baltazardi,0,,"Robles et al., 2010",,VR,42703,,,,NA,0,1,No,,,,Lemuricola baltazardi,Lemuricola baltazardi,,
Lemuricola bauchoti,NA,0,,,,-1,3,,VR,42703,,,,,Lemuricola bauchoti,15,Lemuricola bauchoti,1,,"Robles et al., 2010",,VR,42703,,,,NA,0,1,No,,,,Lemuricola bauchoti,Lemuricola bauchoti,,
Lemuricola contagiosus,NA,0,,,,-1,3,,VR,42703,,,,,Lemuricola contagiosus,28,Lemuricola contagiosus,1,,"Hugot et al., 1995",,VR,42703,,,,NA,0,1,No,,,,Lemuricola contagiosus,Lemuricola contagiosus,,
Lemuricola inglisi,NA,0,,,,-1,3,,VR,42703,,,,,Lemuricola inglisi,39,Lemuricola inglisi,1,,"Hugot et al., 1995",,VR,42703,,,,NA,0,1,No,,,,Lemuricola inglisi,Lemuricola inglisi,,
Lemuricola microcebi,NA,0,,,,-1,3,,VR,42703,,,,,Lemuricola microcebi,18,Lemuricola microcebi,1,,"Hugot et al., 1995",,VR,42703,,,,NA,0,1,No,,,,Lemuricola microcebi,Lemuricola microcebi,,
Lemuricola nana,NA,0,,,,-1,3,,VR,42703,,,,,Lemuricola nana,11,Lemuricola nana,0,,Hugot and Baylac 2007,,VR,42703,,,,NA,0,1,No,,,,Lemuricola nana,Lemuricola nana,,
Lemuricola vauceli,NA,0,,,,-1,3,,VR,42703,,,,,Lemuricola vauceli,14,Lemuricola vauceli,2,,"Clough et al., 2010",,VR,42703,,,,NA,0,1,No,,,,Lemuricola vauceli,Lemuricola vauceli,,
Lemurnyssus galagoensis,NA,0,,,,-1,3,,VR,42703,,,,,Lemurnyssus galagoensis,5,Lemurnyssus galagoensis,0,,Lavoipierre 1964,,VR,42703,,,,NA,0,1,No,,,,Lemurnyssus galagoensis,Lemurnyssus galagoensis,,
Lemurostrongylus residuus,NA,0,,,,-1,3,,VR,42703,,,,,Lemurostrongylus residuus,6,Lemurostrongylus residuus,0,,Irwin and Raharison 2009,,VR,42703,,,,NA,0,1,No,,,,Lemurostrongylus residuus,Lemurostrongylus residuus,,
Lemurphthirus galagus,NA,0,,,,-1,3,,VR,42702,,,,,Lemurphthirus galagus,9,Lemurphthirus galagus,0,,Kim and Emerson 1973,,VR,42702,,,,NA,0,1,No,,,,Lemurphthirus galagus,Lemurphthirus galagus,,
Lemurphthirus stigmosus,NA,0,,,,-1,3,,VR,42702,,,,,Lemurphthirus stigmosus,2,Lemurphthirus stigmosus,0,,NEED,,VR,42702,,,,NA,0,1,No,,,,Lemurphthirus stigmosus,Lemurphthirus stigmosus,,
Lentivirus Caprine arthritis encephalitis virus,NA,3,,,,-1,1,,VR,42702,,,,,Lentivirus Caprine arthritis encephalitis virus,5320,Lentivirus Caprine arthritis encephalitis virus,300,,"Pyper et al., 1986",,VR,42702,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Lentivirus Caprine arthritis encephalitis virus,,,
Lentivirus Feline immuno deficiency virus,NA,0,,-1,1,-1,1,,VR,42702,,,,,Lentivirus Feline immuno deficiency virus,18100,Lentivirus Feline immuno deficiency virus,2,feline specific retro virus,"Poeschla et al., 1998",,VR,42702,,,,NA,0,0,Yes,,Lentivirus Feline immunodeficiency virus,Lentivirus Feline immunodeficiency virus,Lentivirus Feline immunodeficiency virus,Lentivirus Feline immunodeficiency virus,,
Lentivirus HIV-1,NA,0,,0,1,1,1,,VR,42702,,,,,Lentivirus HIV-1,44200,Lentivirus HIV-1,138,human only,"Gao et al., 1999",Gideon,VR,42702,,,,NA,0,0,Yes,,Lentivirus Human immunodeficiency virus 1,,Lentivirus Human immunodeficiency virus 1,Lentivirus Human immunodeficiency virus 1,,
Lentivirus Pumalentivirus,NA,3,,,,-1,1,,VR,42702,,,,,Lentivirus Pumalentivirus,244,Lentivirus Pumalentivirus,0,,"TerWee et al., 2005",,VR,42702,,,,NA,0,0,Yes,,Lentivirus Puma lentivirus,Lentivirus Puma lentivirus,Lentivirus Puma lentivirus,Lentivirus Puma lentivirus,,
Lentivirus SIV agm,NA,3,,,,-1,1,,VR,42702,,,,,Lentivirus SIV agm,2720,Lentivirus SIV agm,20,,"Shibata et al., 1990",,VR,42702,,,,NA,0,0,Yes,Lentivirus Simian immunodeficiency virus (diffent zooscores),,,Lentivirus SIV agm,,,
Lentivirus SIV col,NA,3,,,,-1,1,,VR,42702,,,,,Lentivirus SIV col,1300,Lentivirus SIV col,0,,NEED,,VR,42702,,,,NA,0,0,Yes,Lentivirus Simian immunodeficiency virus (diffent zooscores),,,Lentivirus SIV col,,,
Lentivirus SIV cpz,NA,3,,,,1,1,,VR,42702,,,,,Lentivirus SIV cpz,2770,Lentivirus SIV cpz,4,,"Neel et al., 2010",,VR,42702,,,,NA,0,0,Yes,Lentivirus Simian immunodeficiency virus (diffent zooscores),,,Lentivirus SIV cpz,,,
Lentivirus SIV gor,NA,3,,,,1,1,,VR,42702,,,,,Lentivirus SIV gor,16600,Lentivirus SIV gor,1,,"Neel et al., 2010",,VR,42702,,,,NA,0,0,Yes,Lentivirus Simian immunodeficiency virus (diffent zooscores),,,Lentivirus SIV gor,,,
Lentivirus SIV sm,NA,3,,,,-1,1,,VR,42702,,,,,Lentivirus SIV sm,11400,Lentivirus SIV sm,10,,"Hirsch et al., 1989",,VR,42702,,,,NA,0,0,Yes,Lentivirus Simian immunodeficiency virus (diffent zooscores),,,Lentivirus SIV sm,,,
Lentivirus SIV syk,NA,3,,,,-1,2,,VR,42702,,,,,Lentivirus SIV syk,581,Lentivirus SIV syk,0,,"Berkhout et al., 1995",,VR,42702,,,,NA,0,0,Yes,Lentivirus Simian immunodeficiency virus (diffent zooscores),,,Lentivirus SIV syk,,,
Lentivirus SIV wrcPbt,NA,3,,,,-1,2,,VR,42702,,,,,Lentivirus SIV wrcPbt,1,Lentivirus SIV wrcPbt,0,,"Lucchese et al., 2011",,VR,42702,,,,NA,0,0,Yes,Lentivirus Simian immunodeficiency virus (diffent zooscores),,,Lentivirus SIV wrcPbt,,,
Lentivirus Visna,NA,0,,,,-1,1,,VR,42702,,,,,Lentivirus Visna,7600,Lentivirus Visna,451,,"Gudnadottir et al., 2013",,VR,42702,,,,NA,0,0,Yes,,Lentivirus Visna/maedi virus,Lentivirus Visna/maedi virus,Lentivirus Visna/maedi virus,Lentivirus Visna/maedi virus,,
Lepas anatifera,NA,0,,,,-1,2,,VR,42702,,,,,Lepas anatifera,1370,Lepas anatifera,36,,Patel 1959,,VR,42702,,,,NA,0,1,No,,,,Lepas anatifera,Lepas anatifera,,
Lepas australis,NA,0,,,,-1,1,,VR,42702,,,,,Lepas australis,13800,Lepas australis,14,,Setsaas and Bester 2006,,VR,42702,,,,NA,0,1,No,,,,Lepas australis,Lepas australis,,
Lepidophthirus macrorhini,NA,0,,,,-1,2,,VR,42702,,,,,Lepidophthirus macrorhini,151,Lepidophthirus macrorhini,1,,"Linn et al., 2001",,VR,42702,,,,NA,0,1,No,,,,Lepidophthirus macrorhini,Lepidophthirus macrorhini,,
Leptosoma tumefaciens,NA,0,,,,-1,3,,VR,42702,,,,,Leptosoma tumefaciens,5,Leptosoma tumefaciens,0,,NEED,,VR,42702,,,,NA,0,0,Yes,Leptosoma=Chlamydonema (Travassos 1920),Chlamydonema tumefaciens,Chlamydonema tumefaciens,Chlamydonema tumefaciens,Chlamydonema tumefaciens,,
Leptospira biflexa,NA,0,,0,2,1,1,,VR,42702,,,,,Leptospira biflexa,3940,Leptospira biflexa,217,cattle/dog/horse/deer/rodent/fox/marine/frog (reservoir),Evangelista and Coburn 2010,,VR,42702,,,,NA,0,0,Yes,Can't find it in GMPD files (2018/07/29).,,,Leptospira biflexa,,,
Leptospira borgpetersenii,NA,0,,0,1,1,1,,VR,42696,,,,,Leptospira borgpetersenii,2820,Leptospira borgpetersenii,243,cattle/dog/horse/deer/rodent/fox/marine/frog (reservoir),"Lau et al., 2015",,VR,42696,,,,NA,0,1,No,,,,Leptospira borgpetersenii,Leptospira borgpetersenii,,
Leptospira bratislava,NA,0,,0,1,1,1,,VR,42696,,,,,Leptospira bratislava,4270,Leptospira bratislava,200,cattle/dog/horse/deer/rodent/fox/marine/frog (reservoir),"Renaud et al., 2013",,VR,42696,,,,NA,0,1,No,,,,Leptospira bratislava,Leptospira bratislava,,
Leptospira canicola,NA,0,,0,1,1,1,,VR,42696,,,,,Leptospira canicola,9720,Leptospira canicola,354,(Japan) cattle/dog/horse/deer/rodent/fox/marine/frog (reservoir),"Zaltzman et al., 1981",,VR,42696,,,,NA,0,1,No,,,,Leptospira canicola,Leptospira canicola,,
Leptospira grippotyphosa,NA,0,,0,2,1,1,,VR,42696,,,,,Leptospira grippotyphosa,6910,Leptospira grippotyphosa,321,http://europepmc.org/abstract/med/7558211,Gideon,Gideon,VR,42696,,,,NA,0,1,No,,,,Leptospira grippotyphosa,Leptospira grippotyphosa,,
Leptospira icterohaemorrhagiae,NA,0,,0,2,1,1,,VR,42696,,,,,Leptospira icterohaemorrhagiae,8100,Leptospira icterohaemorrhagiae,506,cattle/dog/horse/deer/rodent/fox/marine/frog (reservoir),"Schulze et al., 2014",,VR,42696,,,,NA,0,1,No,,,,Leptospira icterohaemorrhagiae,Leptospira icterohaemorrhagiae,,
Leptospira interrogans,NA,0,,0,1,1,1,,VR,42696,,,,,Leptospira interrogans,19400,Leptospira interrogans,295,Bacterium-cattle/dog/horse/deer/rodent/fox/marine/frog (reservoir),"Ren et al., 2003",,VR,42696,,,,NA,0,1,No,,,,Leptospira interrogans,Leptospira interrogans,,
Leptospira interrogans serovar Australis,NA,3,,,,1,1,,VR,42702,,,,,Leptospira interrogans serovar Australis,4420,Leptospira interrogans serovar Australis,65,,"Slack et al., 2005",,VR,42702,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Leptospira interrogans serovar Australis,,,
Leptospira interrogans serovar Autumnalis,NA,3,,,,1,1,,VR,42702,,,,,Leptospira interrogans serovar Autumnalis,2450,Leptospira interrogans serovar Autumnalis,61,,"Natarajaseenivasan et al., 2008",,VR,42702,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Leptospira interrogans serovar Autumnalis,,,
Leptospira interrogans serovar bataviae,NA,3,,,,1,1,,VR,42702,,,,,Leptospira interrogans serovar bataviae,1820,Leptospira interrogans serovar bataviae,33,,"Benacer et al., 2016",,VR,42702,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Leptospira interrogans serovar bataviae,,,
Leptospira interrogans serovar bratislava,NA,3,,,,-1,1,,VR,42702,,,,,Leptospira interrogans serovar bratislava,2350,Leptospira interrogans serovar bratislava,91,,"Bolin et al., 1991",,VR,42702,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Leptospira interrogans serovar bratislava,,,
Leptospira interrogans serovar Canicola,NA,3,,,,1,1,,VR,42702,,,,,Leptospira interrogans serovar Canicola,4780,Leptospira interrogans serovar Canicola,164,,"Humphryes et al., 2012",,VR,42702,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Leptospira interrogans serovar Canicola,,,
Leptospira interrogans serovar Copenhageni,NA,3,,,,1,1,,VR,42702,,,,,Leptospira interrogans serovar Copenhageni,3350,Leptospira interrogans serovar Copenhageni,200,,"Nascimento et al., 2004",,VR,42702,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Leptospira interrogans serovar Copenhageni,,,
Leptospira interrogans serovar Hardjo,NA,3,,,,1,1,,VR,42702,,,,,Leptospira interrogans serovar Hardjo,4540,Leptospira interrogans serovar Hardjo,409,,"White et al., 1981",,VR,42702,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Leptospira interrogans serovar Hardjo,,,
Leptospira interrogans serovar Hebdomadis,NA,3,,,,-1,1,,VR,42702,,,,,Leptospira interrogans serovar Hebdomadis,2080,Leptospira interrogans serovar Hebdomadis,37,,Adachi and Yanagawa 1978,NEED,VR,42702,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Leptospira interrogans serovar Hebdomadis,,,
Leptospira interrogans serovar Icterohaemorrhagiae,NA,3,,,,1,1,,VR,42702,,,,,Leptospira interrogans serovar Icterohaemorrhagiae,0,Leptospira interrogans serovar Icterohaemorrhagiae,232,,"Schulze et al., 2014",,VR,42702,,,,NA,0,0,Yes,Can't find it in GMPD files.,,,Leptospira interrogans serovar Icterohaemorrhagiae,,,
