ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As.of.2.8.2017.,SearchStringWOS,WOShits..As.of.2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF.Citation,PGF.more.citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao.note,GMPDtraits,GMPDtax,ParasiteCorrectedName.updated,close,nonclose,vector,intermediate,ParasiteReportedName,HasBinomialName,NameObservations,FLAG,NameID,NameCitation,ParType,ParPhylum,ParClass,ParOrder,ParFamily,StrainorSubsps
Hepatocystis simiae,NA,0,,,,-1,3,,VR,42709,,,,,Hepatocystis simiae      ,60,Hepatocystis simiae      ,1,,"Thurber et al., 2013",,VR,42709,,,,NA,0,1,No,,,,Hepatocystis simiae,0,0,1,0,Hepatocystis simiae,yes,valid in papers,,"Thurber, M. I., Ghai, R. R., Hyeroba, D., Weny, G., Tumukunde, A., Chapman, C. A., ... & Friedrich, T. C. ","Thurber, M. I., Ghai, R. R., Hyeroba, D., Weny, G., Tumukunde, A., Chapman, C. A., ... & Friedrich, T. C. (2013). Co-infection and cross-species transmission of divergent Hepatocystis lineages in a wild African primate community.ÿInternational journal for parasitology,ÿ43(8), 613-619.",Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Hepatocystis taiwanensis,NA,0,,,,-1,3,,VR,42709,,,,,Hepatocystis taiwanensis      ,34,Hepatocystis taiwanensis      ,0,,"Seethamchai et al., 2008",,VR,42709,,,,NA,0,1,No,,,,Hepatocystis taiwanensis,0,0,1,0,Hepatocystis taiwanensis,yes,few papers likely in GMPD,,NA,"Otsuru, M., & Sekikawa, H. (1968). A survey of simian malaria in Japan.Transactions of the Royal Society of Tropical Medicine and Hygiene,ÿ62(4), 558-561.",Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Hepatozoon americanum,NA,0,,,,-1,2,,VR,42709,,,,,Hepatozoon americanum      ,937,Hepatozoon americanum      ,91,,"Panciera et al., 2000",,VR,42709,,,,NA,0,1,No,,,,Hepatozoon americanum,0,0,1,1,Hepatozoon americanum,yes,valid name in NCBI,,NCBI 110119,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Hepatozoidae,
Hepatozoon canis,NA,0,,,,-1,1,,VR,42706,,,,,Hepatozoon canis      ,2840,Hepatozoon canis      ,324,,"Baneth et al., 2009",,VR,42706,,,,NA,0,1,No,,,,Hepatozoon canis,0,0,1,1,Hepatozoon Canis,yes,valid name in NCBI,,NCBI 110120,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Hepatozoidae,
Hepatozoon JM-1,NA,1,,,,-1,3,,VR,42706,,,,,Hepatozoon JM-1      ,5,Hepatozoon JM-1      ,0,,"Kubo et al., 2009",,VR,42706,,,,NA,0,1,No,,,,Hepatozoon JM-1,0,0,1,1,Hepatozoon sp. JM-1,yes,one paper likely in GMPD,,NA,"Kubo, M., Nagataki, M., Agatsuma, T., Sakai, H., Masegi, T., Panciera, R. J., & Yanai, T. (2009). Parasitological and molecular features of the Hepatozoon species in the myocardium of Japanese martens (Martes melampus melampus).ÿJournal of Parasitology,ÿ95(6), 1496-1502.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Hepatozoidae,
Hepatozoon JM-2,NA,1,,,,-1,3,,VR,42706,,,,,Hepatozoon JM-2      ,1,Hepatozoon JM-2      ,0,,"Kubo et al., 2009",,VR,42706,,,,NA,0,1,No,,,,Hepatozoon JM-2,0,0,1,1,Hepatozoon sp. JM-2,yes,one paper likely in GMPD,,NA,"Kubo, M., Nagataki, M., Agatsuma, T., Sakai, H., Masegi, T., Panciera, R. J., & Yanai, T. (2009). Parasitological and molecular features of the Hepatozoon species in the myocardium of Japanese martens (Martes melampus melampus).ÿJournal of Parasitology,ÿ95(6), 1496-1502.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Hepatozoidae,
Hepatozoon JM-3,NA,1,,,,-1,3,,VR,42706,,,,,Hepatozoon JM-3      ,1,Hepatozoon JM-3      ,0,,"Kubo et al., 2009",,VR,42706,,,,NA,0,1,No,,,,Hepatozoon JM-3,0,0,1,1,Hepatozoon sp. JM-3,yes,one paper likely in GMPD,,NA,"Kubo, M., Nagataki, M., Agatsuma, T., Sakai, H., Masegi, T., Panciera, R. J., & Yanai, T. (2009). Parasitological and molecular features of the Hepatozoon species in the myocardium of Japanese martens (Martes melampus melampus).ÿJournal of Parasitology,ÿ95(6), 1496-1502.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Hepatozoidae,
Hepatozoon JM-4,NA,1,,,,-1,3,,VR,42706,,,,,Hepatozoon JM-4      ,2,Hepatozoon JM-4      ,0,,"Kubo et al., 2009",,VR,42706,,,,NA,0,1,No,,,,Hepatozoon JM-4,0,0,1,1,Hepatozoon sp. JM-4,yes,one paper likely in GMPD,,NA,"Kubo, M., Nagataki, M., Agatsuma, T., Sakai, H., Masegi, T., Panciera, R. J., & Yanai, T. (2009). Parasitological and molecular features of the Hepatozoon species in the myocardium of Japanese martens (Martes melampus melampus).ÿJournal of Parasitology,ÿ95(6), 1496-1502.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Hepatozoidae,
Hepatozoon JM-5,NA,1,,,,-1,3,,VR,42706,,,,,Hepatozoon JM-5      ,1,Hepatozoon JM-5      ,0,,"Kubo et al., 2009",,VR,42706,,,,NA,0,1,No,,,,Hepatozoon JM-5,0,0,1,1,Hepatozoon sp. JM-5,yes,one paper likely in GMPD,,NA,"Kubo, M., Nagataki, M., Agatsuma, T., Sakai, H., Masegi, T., Panciera, R. J., & Yanai, T. (2009). Parasitological and molecular features of the Hepatozoon species in the myocardium of Japanese martens (Martes melampus melampus).ÿJournal of Parasitology,ÿ95(6), 1496-1502.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Hepatozoidae,
Hepatozoon JM-6,NA,1,,,,-1,3,,VR,42706,,,,,Hepatozoon JM-6      ,2,Hepatozoon JM-6      ,0,,"Kubo et al., 2009",,VR,42706,,,,NA,0,1,No,,,,Hepatozoon JM-6,0,0,1,1,Hepatozoon sp. JM-6,yes,one paper likely in GMPD,,NA,"Kubo, M., Nagataki, M., Agatsuma, T., Sakai, H., Masegi, T., Panciera, R. J., & Yanai, T. (2009). Parasitological and molecular features of the Hepatozoon species in the myocardium of Japanese martens (Martes melampus melampus).ÿJournal of Parasitology,ÿ95(6), 1496-1502.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Hepatozoidae,
Hepatozoon JM-7,NA,1,,,,-1,3,,VR,42706,,,,,Hepatozoon JM-7      ,2,Hepatozoon JM-7      ,0,,"Kubo et al., 2009",,VR,42706,,,,NA,0,1,No,,,,Hepatozoon JM-7,0,0,1,1,Hepatozoon sp. JM-7,yes,one paper likely in GMPD,,NA,"Kubo, M., Nagataki, M., Agatsuma, T., Sakai, H., Masegi, T., Panciera, R. J., & Yanai, T. (2009). Parasitological and molecular features of the Hepatozoon species in the myocardium of Japanese martens (Martes melampus melampus).ÿJournal of Parasitology,ÿ95(6), 1496-1502.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Hepatozoidae,
Hepatozoon JM-8,NA,1,,,,-1,3,,VR,42706,,,,,Hepatozoon JM-8      ,1,Hepatozoon JM-8      ,0,,"Kubo et al., 2009",,VR,42706,,,,NA,0,1,No,,,,Hepatozoon JM-8,0,0,1,1,Hepatozoon sp. JM-8,yes,one paper likely in GMPD,,NA,"Kubo, M., Nagataki, M., Agatsuma, T., Sakai, H., Masegi, T., Panciera, R. J., & Yanai, T. (2009). Parasitological and molecular features of the Hepatozoon species in the myocardium of Japanese martens (Martes melampus melampus).ÿJournal of Parasitology,ÿ95(6), 1496-1502.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Hepatozoidae,
Hepatozoon procyonis,NA,0,,,,-1,3,,VR,42706,,,,,Hepatozoon procyonis      ,92,Hepatozoon procyonis      ,2,,"Clark et al., 1973",,VR,42706,,,,NA,0,1,No,,,,Hepatozoon procyonis,0,0,1,1,Hepatozoon procyonis,yes,valid in papers,,"Allen, K. E., Yabsley, M. J., Johnson, E. M., Reichard, M. V., Panciera, R. J., Ewing, S. A., & Little, S. E. ","Allen, K. E., Yabsley, M. J., Johnson, E. M., Reichard, M. V., Panciera, R. J., Ewing, S. A., & Little, S. E. (2011). Novel Hepatozoon in vertebrates from the southern United States.ÿJournal of Parasitology,ÿ97(4), 648-653.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Hepatozoidae,
Iodamoeba butschlii,NA,0,,,,0,1,,VR,42705,,,,,Iodamoeba butschlii      ,1790,Iodamoeba butschlii      ,50,,"Park et al., 2004",,VR,42705,,,,NA,0,1,No,,,,Iodamoeba butschlii,1,1,0,0,Iodameoba buetschlii,yes,valid in papers,,"Rayan, P., Verghese, S., & McDonnell, P. A. ","Rayan, P., Verghese, S., & McDonnell, P. A. (2010). Geographical location and age affects the incidence of parasitic infestations in school children.Indian Journal of Pathology and Microbiology,ÿ53(3), 498.",Protozoa,Amoebozoa,Archamoebae,Entamoebida,Entamoebidae,
Isospora arctopitheci,NA,0,,,,-1,3,,VR,42705,,,,,Isospora arctopitheci      ,64,Isospora arctopitheci      ,4,,"Stuart et al., 1990",,VR,42705,,,,NA,0,1,No,,,,Isospora arctopitheci,0,1,0,0,Isospora arctopitheci,yes,valid in papers,,NA,"Valdespino, C., Rico-Hern ndez, G., & Mandujano, S. (2010). Gastrointestinal parasites of howler monkeys (Alouatta palliata) inhabiting the fragmented landscape of the Santa Marta mountain range, Veracruz, Mexico.ÿAmerican Journal of Primatology,ÿ72(6), 539-548.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Isospora cebi,NA,0,,,,-1,3,,VR,42705,,,,,Isospora cebi      ,23,Isospora cebi      ,1,,"Lindsay et al., 1997",,VR,42705,,,,NA,0,1,No,,,,Isospora cebi,0,1,0,0,Isospora cebi,yes,few papers likely in GMPD,,NA,"Macy, R. W., Berntzen, A. K., & Benz, M. (2011). A Redescription of Isospora arctopitheci Rodhain, 1933 (Protozoa: Eimeriidae) from Primates of Panama.ÿJ. Parasitol,ÿ54, 28-38.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Isospora endocallimici,NA,0,,,,-1,3,,VR,42705,,,,,Isospora endocallimici      ,41,Isospora endocallimici      ,0,,"Speer et al., 1976",,VR,42705,,,,NA,0,1,No,,,,Isospora endocallimici,0,1,0,0,Isospora endocallimici,yes,few papers likely in GMPD,,NA,"Duszynski, D. W., & File, S. K. (1974). Structure of the oocyst and excystation of sporozoites of Isospora endocallimici n. sp., from the marmoset Callimico goeldii.ÿTransactions of the American Microscopical Society, 403-408.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Isospora lutrae,NA,0,,,,-1,3,,VR,42705,,,,,Isospora lutrae      ,28,Isospora lutrae      ,1,,"Torres et al., 2000",,VR,42705,,,,NA,0,1,No,,,,Isospora lutrae,0,1,0,0,Isospora lutrae,yes,one paper likely in GMPD,,NA,"Torres, J., Modr?, D., Fern ndez, J., ?lapeta, J. R., & Koudela, B. (2000). Isospora lutrae n. sp.(Apicomplexa: Eimeriidae), a new coccidium from the European otter Lutra lutra (L.)(Carnivora: Mustelidae) from Spain.ÿSystematic parasitology,ÿ47(1), 59-63.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Isospora melis,NA,0,,,,-1,3,,VR,42705,,,,,Isospora melis      ,63,Isospora melis      ,2,,"Gorski et al., 2006",,VR,42705,,,,NA,0,1,No,,,,Isospora melis,0,1,0,0,Isospora melis,yes,valid in papers,,"Sin, Y. W., Annavi, G., Dugdale, H. L., Newman, C., Burke, T., & MacDonald, D. W. ","Sin, Y. W., Annavi, G., Dugdale, H. L., Newman, C., Burke, T., & MacDonald, D. W. (2014). Pathogen burden, co-infection and major histocompatibility complex variability in the European badger (Meles meles).Molecular ecology,ÿ23(20), 5072-5088.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Isospora papionis,NA,0,,,,-1,2,,VR,42705,,,,,Isospora papionis      ,109,Isospora papionis      ,0,,"Lindsay et al., 1997",,VR,42705,,,,NA,0,1,No,,,,Isospora papionis,0,1,0,0,Isospora papionis,yes,"only GMPD paper, may be a synonym of Cyclospora papionis but no direct link found",,McConnell et al 1991,"McConnell E.E., De Vos A.J., Basson P.A, De Vos, V. (1971) Isospora papionis n. sp. (Eimeriidae) of the chacma baboon Papio ursinus (Kerr, 1792). J. Protozool. 18(1):28-32",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Isospora saimirae,NA,0,,,,-1,3,,VR,42705,,,,,Isospora saimirae      ,3,Isospora saimirae      ,0,,Duszynski and Upton 2001,,VR,42705,,,,NA,0,1,No,,,,Isospora saimirae,0,1,0,0,Isospora saimirae,yes,only occurs in primate papers,,NA,"Duszynski, D.W., Wilson, W.D., Upton, S.J, and Levine, N.D. (1999). Coccidia (Apicomplexa: Eimeriidae) in the primates and the scandentia. International Journal of Primatology 20:761-797.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Isospora sengeri,NA,0,,,,-1,3,,VR,42705,,,,,Isospora sengeri      ,10,Isospora sengeri      ,0,,"Lesmeister et al., 2008",,VR,42705,,,,NA,0,1,No,,,,Isospora sengeri,0,1,0,0,Isospora sengeri,yes,only occurs in carnivore papers ,,NA,"Levine, N.D. and Ivens, V. (1964). Isospora spilogales n. sp. and I. sengeri n. sp. (Protozoa: Eimeriidae) from the Spotted Skunk, Spilogale putorius ambarvalis. The Jounral of Eukaryotic Microbiology 11:505-509",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Isospora spilogales,NA,0,,,,-1,2,,VR,42705,,,,,Isospora spilogales      ,21,Isospora spilogales      ,0,,"Lesmeister et al., 2008",,VR,42705,,,,NA,0,1,No,,,,Isospora spilogales,0,1,0,0,Isospora spilogales,yes,only occurs in carnivore papers,,NA,"Levine, N.D. and Ivens, V. (1964). Isospora spilogales n. sp. and I. sengeri n. sp. (Protozoa: Eimeriidae) from the Spotted Skunk, Spilogale putorius ambarvalis. The Jounral of Eukaryotic Microbiology 11:505-509",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Isospora vulpis,NA,0,,,,-1,2,,VR,42705,,,,,Isospora vulpis      ,907,Isospora vulpis      ,36,,"Gorski et al., 2006",,VR,42705,,,,NA,0,1,No,,,,Isospora vulpis,0,1,0,0,Isospora vulpis,yes,"only occurs in primates, ungulates or carnivores",,NA,"G¢rski, P., Zalewski, A., & Lakomy, M. (2006). Parasites of carnivorous mammals in Bialowieza Primeval Forest.ÿWiadomosci Parazytologiczne,52(1), 49-53.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Leishmania braziliensis,NA,0,,,,0,1,,VR,42703,,,,,Leishmania braziliensis      ,33200,Leishmania braziliensis      ,1887,,"Jones et al., 1987",,VR,42703,,,,NA,0,1,No,,,,Leishmania braziliensis,0,0,1,0,Leishmania braziliensis,yes,valid name in NCBI,,NCBI 5660,,Protozoa,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,
Leishmania chagasi,NA,0,,,,0,1,,VR,42703,,,,,Leishmania chagasi      ,15200,Leishmania chagasi      ,1406,,"Burns et al., 1993",,VR,42703,,,,NA,0,1,No,,,,Leishmania chagasi,0,0,1,1,Leishmania chagasi,yes,valid name in NCBI,,NCBI 44271,,Protozoa,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,
Leishmania donovani,NA,0,,,,0,1,,VR,42703,,,,,Leishmania donovani      ,47200,Leishmania donovani      ,6697,,"Lira et al., 1999",,VR,42703,,,,NA,0,1,No,,,,Leishmania donovani,0,0,1,1,Leishmania donovani,yes,valid name in NCBI,,NCBI 5661,,Protozoa,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,
Leishmania infantum,NA,0,,,,0,1,,VR,42703,,,,,Leishmania infantum      ,26600,Leishmania infantum      ,3694,,"Fichoux et al., 1999",,VR,42703,,,,NA,0,1,No,,,,Leishmania infantum,1,0,1,1,Leishmania infantum,yes,valid name in NCBI,,NCBI 5671,,Protozoa,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,
Leishmania shawi,NA,0,,,,1,3,,VR,42703,,,,,Leishmania shawi      ,1410,Leishmania shawi      ,49,,"Shaw et al., 1995",,VR,42703,,,,NA,0,1,No,,,,Leishmania shawi,0,0,1,1,Leishmania (Viannia) shawi,yes,valid name in NCBI,,NCBI 5680,,Protozoa,Euglenozoa,Kinetoplastea,Trypanosomatida,Trypanosomatidae,
Neospora caninum,NA,0,,?,3,-1,1,,VR,42684,,,,0,Neospora caninum      ,14500,Neospora caninum      ,2740,,"Gondim et al., 2004",,VR,42684,,,,NA,0,1,No,,,,Neospora caninum,1,1,0,1,Neospora caninum,yes,valid name in NCBI,,NCBI 29176,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Sarcocystidae,
Pentatrichomonas hominis,NA,0,,1,2,0,1,,VR,42674,0,2,"CDC:_http://www.cdc.gov/dpdx/pentatrichomonas/_Pentatrichomonas_hominis_are_shed_in_human_feces_and_ingested_via_contaminated_food,_water,_or_hands/fomites.__GIDEON:_P._hominis_is_in_the_gastrointestinal_tract_and_empyema_fluid.__Several_articles_find_that_P._hominis_is_the_etiologic_agent_of_feline_trichomonal_diarrhea_but_Levy_et_al._2003_says_that_Tritrichomonas_foetis_is_the_actual_etiologic_agent.__Definitely_found_in_humans.__2%_of_surveyed_children_in_Venezuela_were_infected_(Bracho_et_al._2013;_abstract_only--article_in_Spanish_and_unavailable).__Kamaruddin_et_al._2014:_P._hominis_identified_in_humans,_pigs,_dog,_water_buffalo,_cow,_and_goat.__""Even_when_using_the_high_resolution_gene_locus_of_the_ITS_regions,_all_P._hominis_strains_were_genetically_identical;_thus_zoonotic_transmission_between_humans_and_these_closely_related_mammals_may_be_occuring""_in_area_of_Indonesia_that_was_investigated.__However,_Pentatrichomonas_hominis_""has_been_recognized_as_a_harmless_commensal_gastrointestinal_protozoal_in_humans""_although_may_sometimes_cause_gastrointestinal_and_repiratory_symptoms.__Also_reviews_literature_to_say_that_P._hominis_has_been_found_in_the_field_in_a_variety_of_species,_including_humans,_dogs,_cats,_cattle,_primates,_rodents_(guinea_pig),_boas,_goats,_and_owls.__Other_species_have_been_experimentally_infected.__Article_suggests_that_P._hominis_should_be_monitored_as_a_potential_zoonotic_pathogen.__Scoring_this_as_a_0-2_because_P._hominis_is_described_as_a_commensal_but_there_might_be_zoonotic_transmission_that_is_pathogenic_(previous_commensal/naturally_maintained_in_humans_Streptoccocus_spp_scored_as_0,_even_though_found_in_infected_dog_bites).__Several_studies_regard_P._hominis_as_generally_a_harmless_commensal_in_humans.",0,Pentatrichomonas hominis      ,1060,Pentatrichomonas hominis      ,101,"commensal protozoan of vertebrate digestive tract (Gookin, Stauffer, and Levy). Generally thought to be commensal in humans, but there is emerging evidence that consumption of contaminated water/food from fecal-oral transmission could cause gastrointestinal issues, especially in children (Meloni et al. 2011)","Li et al., 2016",,VR,42674,,Kamaruddin et al. 2014,,NA,0,1,No,,,,Pentatrichomonas hominis,0,1,0,0,Pentatrichomoas hominis,yes,valid name in NCBI,,NCBI 5728,,Protozoa,Metamonada,Parabasalia,Trichomonadida,Trichomonadidae,
Plasmodium brasilianum,NA,0,,3,2,3,3,,VR,42670,3,3,"Predominantly_in_monkeys,_but_it_can_be_transferred_to_humans_via_mosquito_bite_(has_been_shown_experimentally_in_lab_but_likely_naturally_too,_as_many_people_in_Brazil_have_antibodies_against_P._brasilianum_or_P._malariae_(the_spp_cannot_be_differentiated_using_conventional_serology)_and_P._brasilianum_has_been_found_in_monkeys_and_in_Anopheles_darlingi_in_the_areas_where_people_test_positive_for_P._brasilianum_(or_P._malariae)_antibodies.__According_to_Ewald_1983,_parasitemias_in_humans_infected_with_P._brasilianum_are_usually_less_than_50/mm^3_(vs._~20,000/mm^3_for_P._vivaz_and_50,000+/mm^3_for_P._falciparum,_which_suggests_that_P._brasilianum_is_not_easily_transmitted_from_humans_back_to_mosquitos?__No_paper_that_I_read_said_this_definitively,_but_I_am_cautiously_scoring_it_a_2,_anyway,_since_it_is_fairly_well-studied_(akthough_one_paper,_Baird_2009,_classified_it_as_not_being_a_disease_in_humans,_so_the_uncertainty_goes_both_ways).__P._brasilianum_and_P._malariae_very_morphologicaly_similar.__Ta_et_al._claims_that_P._brasilianum_is_not_naturally_transmitted_to_humans.__HOWEVER_probably_entered_new_world_monkeys_via_humans,_suggest_Collins_and_Jeffery_2007:_""[P._malariae]_is_also_reported_in_areas_of_the_Amazon_Basin_of_South_America,_along_with_Plasmodium_brasilianum,_a_parasite_commonly_found_in_New_World_monkeys._This_parasite_is_apparently_the_same_species_as_P._malariae_that_has_naturally_adapted_to_grow_in_monkeys_following_human_settlement_of_South_America_within_the_last_500_years.""",0,Plasmodium brasilianum      ,1310,Plasmodium brasilianum      ,61,,Ewald 1983,,VR,42670,,Ewald 1983,"Acha vol 3, pg. 64 & Coatney 1971",NA,0,1,No,,,,Plasmodium brasilianum,0,0,1,0,Plasmodium brasilianum,yes,valid name in NCBI,,NCBI 5824,,Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Plasmodium coatneyi,NA,0,,-1,1,-1,1,,VR,42670,,,,0,Plasmodium coatneyi      ,1310,Plasmodium coatneyi      ,72,,"Lombardini et al., 2015",,VR,42670,,,,NA,0,1,No,,,,Plasmodium coatneyi,0,0,1,0,Plasmodium coatneyi,yes,valid name in NCBI,,NCBI 208452,,Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Plasmodium cynomolgi,NA,0,,3,2,2,2,,VR,42670,2,2,"Ta_et_al._2014_describe_a_case_of_naturally_acquired_human_infection_with_P._cynomolgi._According_to_Acha_Vol_3,_pg._63,_P._cynomolgi_has_been_transmitted_experimentally_to_humans_and_has,_very_rarely,_been_found_in_people_via_""natural_or_accidental_infections.""__Very_similar_to_P._vivax,_P._cynomolgi_is_predominantly_found_in_non-human_primates.__From_Ewald_1983:_""When_P._cynomolgi_was_transmitted_from_monkey_to_man_by_mosquito,_typical_manifestations_were_parasitemias_of_less_than_300/mm3_(and_occasionally_greater_than_1000/mm3_when_blood_passaged),_headaches,_and_moderate_fever_that_almost_never_exceeded_40.5?C_(26,_74)._Infections_with_P._vivax_are_more_severe,_with_parasitemias_usually_near_10,000/mm3_and_febrile_peaks_often_above_41?C_(27)""__Very_rare_in_people_and_no_evidence_/_suggestion_that_it_can_be_transmitted_between_people_in_papers,_even_though_P._cynomolgi_is_well_studied_because_it's_used_for_studying_P._vivax,_so_I_am_scoring_this_a_2.__Baird_2009_only_describes_accidental_laboratory_infections_of_P._cynomolgi,_so_there_is_uncertainty_as_to_whether_it_is_truly_acquired_from_vertebrate_hosts_outside_the_lab",0,Plasmodium cynomolgi      ,5760,Plasmodium cynomolgi      ,298,,"Ta et al., 2014",,VR,42670,,Ta et al. 2014; Ewald 1983,"Acha, vol 3, pg 63+ & Baird 2009",NA,0,1,No,,,,Plasmodium cynomolgi,0,0,1,0,Plasmodium cynomolgi,yes,valid name in NCBI,,NCBI 5827,,Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Plasmodium eylesi,NA,0,,-1,2,-1,3,,VR,42670,,,,0,Plasmodium eylesi      ,93,Plasmodium eylesi      ,1,,"Warren et al., 1966",,VR,42670,,,,NA,0,1,No,,,,Plasmodium eylesi,0,0,1,0,Plasmodium eylesi,yes,valid in papers,,Warren et al 1965,"Warren McW., Bennett G.F., Sandosham A.A. and Coatney G.R. (1965)ÿPlasmodium eylesiÿsp. nov., a tertian malaria parasite from the white-handed gibbon,ÿHylobates lar. Ann. Trop. Med. Parasit. 59: 500-508",Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Plasmodium falciparum,NA,0,,3,1,0,1,,VR,42670,0,1,"Zoonotic_origin,_maintained_without_non-human_reservoir_(originally_probably_from_gorillas,_Liu_et_al._2010),_i.e._humans_are_the_reservoir.__Duarte_et_al._2008_found_a_few_monkeys_in_Brazil_were_infected_with_P._falciparum_(came_from_humans),_which_could_become_a_disease_reservoir_as_they_were_asymptomatic.",0,Plasmodium falciparum      ,359000,Plasmodium falciparum      ,40917,,"Liu et al., 2010",,VR,42670,,Liu et al. 2010,,NA,0,1,No,,,,Plasmodium falciparum,0,0,1,0,Plasmodium falciparum,yes,valid in papers,,Rayner et al 2011,"Rayner, J. C., Liu, W., Peeters, M., Sharp, P. M., & Hahn, B. H. (2011). A plethora of Plasmodium species in wild apes: a source of human infection?.Trends in parasitology,ÿ27(5), 222-229.",Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Plasmodium fieldi,NA,0,,-1,2,-1,2,,VR,42670,,,,0,Plasmodium fieldi      ,949,Plasmodium fieldi      ,16,,"Collins et al., 2009",,VR,42670,,,,NA,0,1,No,,,,Plasmodium fieldi,0,0,1,0,Plasmodium fieldi,yes,valid name in NCBI,,NCBI 77518,,Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Plasmodium fragile,NA,0,,-1,2,-1,2,,VR,42670,,,,0,Plasmodium fragile      ,7040,Plasmodium fragile      ,68,,"Handunetti et al., 1987",,VR,42670,,,,NA,0,1,No,,,,Plasmodium fragile,0,0,1,0,Plasmodium fragile,yes,valid name in NCBI,,NCBI 5857,,Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Plasmodium gaboni,NA,0,,-1,3,-1,3,,VR,42670,,,,0,Plasmodium gaboni      ,105,Plasmodium gaboni      ,11,,"Prugnolle et al. 2010, ",,VR,42670,,,,NA,0,1,No,,,,Plasmodium gaboni,0,0,1,0,Plasmodium gaboni,yes,valid in papers,,Rayner et al 2011,"Rayner, J. C., Liu, W., Peeters, M., Sharp, P. M., & Hahn, B. H. (2011). A plethora of Plasmodium species in wild apes: a source of human infection?.Trends in parasitology,ÿ27(5), 222-229.",Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Plasmodium georgesi,NA,0,,-1,3,-1,3,,VR,42670,,,,0,Plasmodium georgesi      ,35,Plasmodium georgesi      ,3,,"Poirriez et al., 1995",,VR,42670,,,,NA,0,1,No,,,,Plasmodium georgesi,0,0,1,0,Plasmodium georgesi,yes,valid in papers,,Leclerc et al 2004,"Leclerc, M. C., Hugot, J. P., Durand, P., & Renaud, F. (2004). Evolutionary relationships between 15 Plasmodium species from New and Old World primates (including humans): a 18S rDNA cladistic analysis.ÿParasitology,129(06), 677-684.",Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Plasmodium girardi,NA,0,,-1,3,-1,3,,VR,42670,,,,0,Plasmodium girardi      ,467,Plasmodium girardi      ,0,,Huff and Hoogstraal 1963,,VR,42670,,,,NA,0,1,No,,,,Plasmodium girardi,0,0,1,0,Plasmodium girardi,yes,valid in papers,,Eyles 196,"Eyles, D. E. (1963). The species of simian malaria: taxonomy, morphology, life cycle, and geographical distribution of the monkey species.ÿThe Journal of parasitology, 866-887.",Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
